Date,Month,Day,Price,Open,High,Low,Volume,Chg%,,
"Dec 28, 2020",Dec,Mon,"1,417.95","1,420.00","1,438.30","1,411.10",1.32M,0.64%,,
"Dec 24, 2020",Dec,Thu,"1,408.95","1,421.00","1,428.40","1,403.20",1.24M,-0.18%,,
"Dec 23, 2020",Dec,Wed,"1,411.55","1,404.40","1,423.50","1,379.05",1.63M,0.89%,,
"Dec 22, 2020",Dec,Tue,"1,399.05","1,374.00","1,408.95","1,336.45",2.68M,1.86%,,
"Dec 21, 2020",Dec,Mon,"1,373.50","1,423.80","1,437.50","1,359.00",2.56M,-3.58%,,
"Dec 18, 2020",Dec,Fri,"1,424.50","1,430.00","1,456.50","1,410.00",3.27M,-0.02%,,
"Dec 17, 2020",Dec,Thu,"1,424.85","1,431.00","1,441.10","1,420.25",1.33M,0.10%,,
"Dec 16, 2020",Dec,Wed,"1,423.40","1,453.80","1,455.90","1,420.00",3.56M,-1.22%,,
"Dec 15, 2020",Dec,Tue,"1,441.00","1,494.90","1,498.00","1,431.10",5.27M,-2.57%,,
"Dec 14, 2020",Dec,Mon,"1,479.00","1,424.90","1,508.70","1,422.05",9.44M,4.08%,,
"Dec 11, 2020",Dec,Fri,"1,421.00","1,403.95","1,448.80","1,400.00",9.77M,-2.19%,,
"Dec 10, 2020",Dec,Thu,"1,452.75","1,405.00","1,524.65","1,405.00",17.19M,-10.20%,,
"Dec 09, 2020",Dec,Wed,"1,617.75","1,666.60","1,701.25","1,601.00",3.69M,-1.87%,,
"Dec 08, 2020",Dec,Tue,"1,648.50","1,706.80","1,800.00","1,596.60",6.11M,-2.55%,,
"Dec 07, 2020",Dec,Mon,"1,691.55","1,585.00","1,720.00","1,583.00",7.81M,7.70%,,
"Dec 04, 2020",Dec,Fri,"1,570.60","1,382.00","1,597.00","1,382.00",10.43M,13.97%,,
"Dec 03, 2020",Dec,Thu,"1,378.05","1,364.00","1,396.05","1,350.00",631.55K,2.09%,,
"Dec 02, 2020",Dec,Wed,"1,349.90","1,368.00","1,368.80","1,346.55",186.84K,-0.60%,,
"Dec 01, 2020",Dec,Tue,"1,358.10","1,358.00","1,368.00","1,353.50",189.34K,0.34%,,
"Nov 27, 2020",Nov,Fri,"1,353.45","1,346.30","1,366.75","1,346.30",198.92K,0.16%,,
"Nov 26, 2020",Nov,Thu,"1,351.35","1,356.00","1,359.95","1,346.30",122.93K,-0.19%,,
"Nov 25, 2020",Nov,Wed,"1,353.90","1,370.00","1,370.00","1,353.00",189.93K,-0.62%,,
"Nov 24, 2020",Nov,Tue,"1,362.30","1,370.20","1,379.20","1,357.00",224.46K,0.00%,,
"Nov 23, 2020",Nov,Mon,"1,362.35","1,368.00","1,374.00","1,357.00",322.53K,-1.36%,,
"Nov 20, 2020",Nov,Fri,"1,381.15","1,390.00","1,399.00","1,361.65",503.58K,0.37%,,
"Nov 19, 2020",Nov,Thu,"1,376.05","1,364.00","1,380.00","1,360.00",227.21K,0.79%,,
"Nov 18, 2020",Nov,Wed,"1,365.30","1,365.00","1,370.95","1,352.10",312.00K,-1.09%,,
"Nov 17, 2020",Nov,Tue,"1,380.30","1,398.65","1,407.00","1,372.60",418.71K,-0.64%,,
"Nov 13, 2020",Nov,Fri,"1,389.25","1,369.00","1,403.00","1,365.90",619.64K,0.56%,,
"Nov 12, 2020",Nov,Thu,"1,381.45","1,375.00","1,400.00","1,355.10",494.24K,0.74%,,
"Nov 11, 2020",Nov,Wed,"1,371.25","1,398.00","1,407.00","1,343.00",611.90K,-0.23%,,
"Nov 10, 2020",Nov,Tue,"1,374.35","1,325.00","1,416.85","1,322.05",1.89M,4.68%,,
"Nov 09, 2020",Nov,Mon,"1,312.85","1,318.00","1,322.55","1,311.00",134.49K,0.13%,,
"Nov 06, 2020",Nov,Fri,"1,311.20","1,318.00","1,318.40","1,308.30",108.11K,0.06%,,
"Nov 05, 2020",Nov,Thu,"1,310.40","1,301.10","1,316.55","1,301.10",159.68K,0.76%,,
"Nov 04, 2020",Nov,Wed,"1,300.55","1,292.85","1,308.80","1,290.05",128.50K,-0.07%,,
"Nov 03, 2020",Nov,Tue,"1,301.45","1,303.00","1,311.50","1,300.00",107.31K,-0.06%,,
"Nov 02, 2020",Nov,Mon,"1,302.25","1,320.20","1,321.75","1,300.00",123.93K,-0.98%,,
"Oct 30, 2020",Oct,Fri,"1,315.20","1,322.80","1,329.45","1,310.00",116.35K,-1.16%,,
"Oct 29, 2020",Oct,Thu,"1,330.60","1,310.00","1,340.00","1,310.00",165.78K,-0.21%,,
"Oct 28, 2020",Oct,Wed,"1,333.35","1,324.00","1,339.00","1,310.00",185.02K,0.55%,,
"Oct 27, 2020",Oct,Tue,"1,326.00","1,326.00","1,328.90","1,297.05",214.18K,0.41%,,
"Oct 26, 2020",Oct,Mon,"1,320.65","1,329.00","1,331.00","1,318.00",159.58K,-0.55%,,
"Oct 23, 2020",Oct,Fri,"1,327.95","1,329.00","1,332.85","1,327.00",84.50K,0.02%,,
"Oct 22, 2020",Oct,Thu,"1,327.75","1,333.00","1,337.70","1,326.35",90.63K,-0.30%,,
"Oct 21, 2020",Oct,Wed,"1,331.75","1,336.55","1,343.90","1,328.00",156.43K,-0.03%,,
